id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398141812544581638,1398141812544581638,2021-05-27 21:59:18 Pacific Daylight Time,2021-05-27,21:59:18,-0700,3826324514,suchbaddogs,Bad Dog,,Fido the inquisitive visla loves to hide my curtains,en,[],[],[],0,0,0,[],[],https://twitter.com/SuchBadDogs/status/1398141812544581638,False,,0,,,,,,,,[],,,,
1398141811315466242,1398141811315466242,2021-05-27 21:59:18 Pacific Daylight Time,2021-05-27,21:59:18,-0700,1163219937856352257,bvnnnie,Bunnie,,my dog wanted to say hi :)  https://t.co/FahZqtmM3j,en,[],[],[],0,0,0,[],[],https://twitter.com/Bvnnnie/status/1398141811315466242,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1398141569400598532/pu/img/ctS8VM20QM4Dmxx6.jpg,,,,,,,[],,,,
1398141805384830978,1398140536419147776,2021-05-27 21:59:17 Pacific Daylight Time,2021-05-27,21:59:17,-0700,1154118982640816129,2generalrusty78,General Rusty since 1978,,@edgymoss @thisbuggybee It's a dog enjoying a leaf blower,en,[],[],[],0,0,0,[],[],https://twitter.com/2Generalrusty78/status/1398141805384830978,False,,0,,,,,,,,"[{'screen_name': 'edgymoss', 'name': 'moss 📌 COMMISSIONS OPEN!', 'id': '1067369160282320902'}, {'screen_name': 'thisbuggybee', 'name': 'Benny', 'id': '1292327865611161601'}]",,,,
1398141805166686212,1398141805166686212,2021-05-27 21:59:17 Pacific Daylight Time,2021-05-27,21:59:17,-0700,1225814406254063616,jyotirajputa1,Jyoti_Rajput_A,,"#भगवान_का_विधान  According to the constitution of God, once a drinker has 70 births of dogs. Join our telegram group for solution.  Visit Satlok Ashram YouTube channel....  https://t.co/wStocEw62x",en,[],[],['https://pbs.twimg.com/media/E2cyjjMVEAAG4hY.jpg'],0,0,0,['भगवान_का_विधान'],[],https://twitter.com/JyotiRajputA1/status/1398141805166686212,False,,1,https://pbs.twimg.com/media/E2cyjjMVEAAG4hY.jpg,,,,,,,[],,,,
1398141803208089601,1398141803208089601,2021-05-27 21:59:16 Pacific Daylight Time,2021-05-27,21:59:16,-0700,1227831850887974912,whataudreysays_,Audrey Miller,,"Just saved 50% on tonight Traverse City! I got this"" Above all Family and two dogs.",en,[],[],[],0,0,0,[],[],https://twitter.com/WhatAudreySays_/status/1398141803208089601,False,,0,,,,,,,,[],,,,
1398141800146104322,1398141800146104322,2021-05-27 21:59:16 Pacific Daylight Time,2021-05-27,21:59:16,-0700,53630525,franze25,francis condicion,,@Condi06Ec @mumarvallarta @tonyrances613 #Doge #Shibainu #Shiba #Safemoon #Airdrop #Meme #Cute #Dog #HUKKU,und,"[{'screen_name': 'mumarvallarta', 'name': 'marlon vallarta', 'id': '56833625'}, {'screen_name': 'tonyrances613', 'name': 'antonio rances', 'id': '490283837'}]",[],[],0,0,0,"['doge', 'shibainu', 'shiba', 'safemoon', 'airdrop', 'meme', 'cute', 'dog', 'hukku']",[],https://twitter.com/franze25/status/1398141800146104322,False,https://twitter.com/hukkuofficial/status/1397914375994806272,0,,,,,,,,[],,,,
1398141799592570880,1398141799592570880,2021-05-27 21:59:15 Pacific Daylight Time,2021-05-27,21:59:15,-0700,2688532477,mattoniousgames,✨😈Mattonious😈✨ @ NO DOGS ON THE FFXIV MOON,,WAIT ZARLA I REMEMBER ZARLA I KNEW THAT ART STYLE LOOKED HELLA FAMILIAR THEY DREW LESBIAN L4D ZOMBIE ART THAT I ADORED UGHUGUHGUHGHUGH WHERE ARE THEY NOW.......,en,[],[],[],0,0,0,[],[],https://twitter.com/MattoniousGames/status/1398141799592570880,False,,0,,,,,,,,[],,,,
1398141797684158471,1398133947981348865,2021-05-27 21:59:15 Pacific Daylight Time,2021-05-27,21:59:15,-0700,1297670164914352130,444ndy,Da Dog 💙,,@LilR3x @Zackary_118 nah,und,[],[],[],0,0,0,[],[],https://twitter.com/444ndy/status/1398141797684158471,False,,0,,,,,,,,"[{'screen_name': 'LilR3x', 'name': ""Lil' Rex"", 'id': '989988454170849280'}, {'screen_name': 'Zackary_118', 'name': 'Zackary118', 'id': '959568737266425856'}]",,,,
1398141786866917378,1398141786866917378,2021-05-27 21:59:12 Pacific Daylight Time,2021-05-27,21:59:12,-0700,466926535,thrasholes,Agent Kush,,Sometimes I wish I was a dog. No worries in life just chillin with my owner,en,[],[],[],0,0,0,[],[],https://twitter.com/Thrasholes/status/1398141786866917378,False,,0,,,,,,,,[],,,,
1398141786133045248,1398141786133045248,2021-05-27 21:59:12 Pacific Daylight Time,2021-05-27,21:59:12,-0700,2500613905,jahmaruisbxtch,#LongLiveKingBuff 🖤❤️,,I don’t fw nothing that got more legs than me except dogs &amp; cats,en,[],[],[],0,0,0,[],[],https://twitter.com/JahmaruisBXTCH/status/1398141786133045248,False,,0,,,,,,,,[],,,,
